Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
694,Census Tract 9800,1,Census Tract 233.15,"1/1/2020 - 3/31/2020, Every day, Daily Average",2467,2061,2952
694,Census Tract 9800,2,Census Tract 234.21,"1/1/2020 - 3/31/2020, Every day, Daily Average",1128,845,1504
694,Census Tract 9800,3,Census Tract 214.11,"1/1/2020 - 3/31/2020, Every day, Daily Average",2014,1642,2470
694,Census Tract 9800,4,Census Tract 214.16,"1/1/2020 - 3/31/2020, Every day, Daily Average",1788,1429,2236
694,Census Tract 9800,5,Census Tract 215.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",1850,1469,2329
694,Census Tract 9800,6,Census Tract 234.19,"1/1/2020 - 3/31/2020, Every day, Daily Average",1635,1247,2142
694,Census Tract 9800,7,Census Tract 503.11,"1/1/2020 - 3/31/2020, Every day, Daily Average",2507,2002,3139
694,Census Tract 9800,8,Census Tract 219.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",2210,1789,2728
694,Census Tract 9800,9,Census Tract 66.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",974,721,1314
694,Census Tract 9800,10,Census Tract 67,"1/1/2020 - 3/31/2020, Every day, Daily Average",670,520,861
694,Census Tract 9800,11,Census Tract 93,"1/1/2020 - 3/31/2020, Every day, Daily Average",1823,1408,2359
694,Census Tract 9800,12,Census Tract 94.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",1385,1091,1757
694,Census Tract 9800,13,Census Tract 101.08,"1/1/2020 - 3/31/2020, Every day, Daily Average",2708,2202,3329
694,Census Tract 9800,14,Census Tract 1706.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",1792,1450,2214
694,Census Tract 9800,15,Census Tract 101.10,"1/1/2020 - 3/31/2020, Every day, Daily Average",1914,1500,2441
694,Census Tract 9800,16,Census Tract 102.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",2138,1721,2654
694,Census Tract 9800,17,Census Tract 102.08,"1/1/2020 - 3/31/2020, Every day, Daily Average",2419,1930,3031
694,Census Tract 9800,18,Census Tract 105.07,"1/1/2020 - 3/31/2020, Every day, Daily Average",357,187,678
694,Census Tract 9800,19,Census Tract 105.08,"1/1/2020 - 3/31/2020, Every day, Daily Average",689,451,1051
694,Census Tract 9800,20,Census Tract 105.12,"1/1/2020 - 3/31/2020, Every day, Daily Average",600,396,907
694,Census Tract 9800,21,Census Tract 106.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",442,228,854
694,Census Tract 9800,22,Census Tract 106.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",239,87,650
694,Census Tract 9800,23,Census Tract 106.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",248,81,755
694,Census Tract 9800,24,Census Tract 303.30,"1/1/2020 - 3/31/2020, Every day, Daily Average",2490,2018,3071
694,Census Tract 9800,25,Census Tract 313.11,"1/1/2020 - 3/31/2020, Every day, Daily Average",1382,1082,1764
694,Census Tract 9800,26,Census Tract 314.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",2138,1743,2622
694,Census Tract 9800,27,Census Tract 314.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",2561,2115,3099
694,Census Tract 9800,28,Census Tract 314.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",2355,1927,2877
694,Census Tract 9800,29,Census Tract 315.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",2774,2314,3324
694,Census Tract 9800,30,Census Tract 315.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",2396,1980,2898
694,Census Tract 9800,31,Census Tract 101.22,"1/1/2020 - 3/31/2020, Every day, Daily Average",2013,1584,2556
694,Census Tract 9800,32,Census Tract 303.31,"1/1/2020 - 3/31/2020, Every day, Daily Average",2769,2282,3358
694,Census Tract 9800,33,Census Tract 303.32,"1/1/2020 - 3/31/2020, Every day, Daily Average",2626,2136,3227
694,Census Tract 9800,34,Census Tract 303.33,"1/1/2020 - 3/31/2020, Every day, Daily Average",2486,2051,3013
694,Census Tract 9800,35,Census Tract 1306.13,"1/1/2020 - 3/31/2020, Every day, Daily Average",3113,2533,3825
694,Census Tract 9800,36,Census Tract 310.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",2080,1698,2547
694,Census Tract 9800,37,Census Tract 303.20,"1/1/2020 - 3/31/2020, Every day, Daily Average",2127,1704,2653
694,Census Tract 9800,38,Census Tract 305.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",2178,1760,2693
